sigungu,shelter_name,road_address,facility_name,capacity,time,x_coord,y_coord,longitude,latitude
관악구,신림종합사회복지관,서울특별시 관악구 난곡로 110,복지회관,300,09:00~18:00,192908.0985,540606.7815,126.91983551566567,37.46485741452216
관악구,신본경로당,서울특별시 관악구 남부순환로200다길 7,노인시설,80,09:00~18:00,194393.5817,542570.6295,126.93661196897182,37.482562071270685
서초구,반포2동주민센터,서울특별시 서초구 신반포로15길 16,주민센터,30,09:00~18:00,199511.1897,545013.0598,126.99447172475296,37.50458541622608
서초구,방배2동주민센터,서울특별시 서초구  청두곶길 36,주민센터,30,09:00~18:00,198721.8316,542257.4515,126.98554914230992,37.47975642931267
서초구,양재1동주민센터,서울특별시 서초구 바우뫼로 41,주민센터,30,09:00~18:00,202359.2853,541358.939,127.02667099071031,37.47165861699664
강남구,강남구청버스정류장그린스마트쉼터1,서울특별시 강남구 학동로 426,기타,10,24시간,204189.2955,546427.7235,127.0473875317646,37.51732222249037
강남구,강남구청버스정류장그린스마트쉼터2,서울특별시 강남구 학동로 425,기타,10,24시간,204154.0543,546576.4692,127.04698973877235,37.51866258507462
강남구,강남구청역버스정류장그린스마트쉼터1,서울특별시 강남구 학동로 337,기타,10,24시간,203529.8548,546399.6378,127.03992808557453,37.51707192656283
강남구,강남구청역버스정류장그린스마트쉼터2,서울특별시 강남구 학동로 338,기타,10,24시간,203598.6032,546331.4975,127.04070540203514,37.51645771474604
강남구,"논현동사거리,학동역버스정류장그린스마트쉼터",서울특별시 강남구 학동로 171,기타,10,24시간,202608.2467,546065.0633,127.0295020956018,37.514060462207645
강남구,농협앞버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 443,기타,10,24시간,203929.4309,547186.7284,127.04445211144822,37.524162019742725
강남구,도산공원사거리버스정류장그린스마트쉼터,서울특별시 강남구 도산대로 303,기타,10,24시간,203045.0196,546957.4484,127.0344461652146,37.522099543225536
강남구,"서울상록회관,한국기술센터버스정류장그린스마트쉼터",서울특별시 강남구 테헤란로 305,기타,10,24시간,203871.3256,544875.8102,127.04378262422034,37.5033408054592
강남구,선릉역버스정류장그린스마트쉼터,서울특별시 강남구 테헤란로 413,기타,10,24시간,204534.2955,545124.7799,127.05128199138018,37.505581018211124
강남구,선릉역버스정류장그린스마트쉼터,서울특별시 강남구 테헤란로 408,기타,10,24시간,204455.2485,545001.1557,127.05038723705184,37.50446754270685
강남구,세관앞버스정류장그린스마트쉼터,서울특별시 강남구 학동로 308,기타,10,24시간,203217.8283,546217.8521,127.03639779124426,37.51543517152007
